Number    Value       Result                                  
169       2.68        Odd_min error: log argument < 0         
170       2.69        1.607571090757143                       
171       2.70        Odd_min error: log argument < 0         
172       2.71        1.6097766333844905                      
173       2.72        Odd_min error: log argument < 0         
174       2.73        1.6121293829330494                      
175       2.74        Odd_min error: log argument < 0         
176       2.75        1.6146314639500698                      
177       2.76        Odd_min error: log argument < 0         
178       2.77        1.6172851694913581                      
179       2.78        Odd_min error: log argument < 0         
180       2.79        1.620092970067616                       
181       2.80        Odd_min error: log argument < 0         
182       2.81        1.623057523498634                       
183       2.82        Odd_min error: log argument < 0         
184       2.83        1.6261816857641787                      
185       2.84        Odd_min error: log argument < 0         
186       2.85        1.6294685229522077                      
187       2.86        Odd_min error: log argument < 0         
188       2.87        1.6329213244186338                      
189       2.88        Odd_min error: log argument < 0         
190       2.89        1.6365436172882177                      
191       2.90        Odd_min error: log argument < 0         
192       2.91        1.6403391824439322                      
193       2.92        Odd_min error: log argument < 0         
194       2.93        1.6443120721728426                      
195       2.94        Odd_min error: log argument < 0         
196       2.95        1.6484666296600328                      
197       2.96        Odd_min error: log argument < 0         
198       2.97        1.6528075105499545                      
199       2.98        Odd_min error: log argument < 0         
200       2.99        1.65733970682652                        
201       3.00        Odd_min error: log argument < 0         
202       3.01        1.6620685733007559                      
203       3.02        Odd_min error: log argument < 0         
204       3.03        1.6669998570389695                      
205       3.04        Odd_min error: log argument < 0         
206       3.05        1.6721397301159342                      
207       3.06        Odd_min error: log argument < 0         
208       3.07        1.6774948261385616                      
209       3.08        Odd_min error: log argument < 0         
210       3.09        1.6830722810580612                      
211       3.10        Odd_min error: log argument < 0         
212       3.11        1.6888797788740586                      
213       3.12        Odd_min error: log argument < 0         
214       3.13        1.6949256029370638                      
215       3.14        Odd_min error: log argument < 0         
216       3.15        1.7012186936782228                      
217       3.16        Odd_min error: log argument < 0         
218       3.17        1.7077687137430584                      
219       3.18        Odd_min error: log argument < 0         
220       3.19        1.7145861216847518                      
221       3.20        Odd_min error: log argument < 0         
222       3.21        1.7216822555891567                      
223       3.22        Odd_min error: log argument < 0         
224       3.23        1.7290694282683392                      
225       3.24        Odd_min error: log argument < 0         
226       3.25        1.736761035984307                       
227       3.26        Odd_min error: log argument < 0         
228       3.27        1.744771683064213                       
229       3.28        Odd_min error: log argument < 0         
230       3.29        1.7531173252650758                      
231       3.30        Odd_min error: log argument < 0         
